p,E[N],E[T],P_IDLE
0.2,0.2215226,2282.0412792060797,0.8057984
0.3,0.3395682,2356.8885902338443,0.7124012000000001
0.4,0.5234053999999999,2643.709772186761,0.6046328
0.5,0.7490524000000001,3124.1660453755107,0.5235569999999999
0.6,1.0132485999999998,3565.7769744336906,0.43446640000000003
0.7,1.5546973999999998,4683.128728166144,0.3778176
0.8,2.4036304000000004,6013.801444642317,0.2060544
0.9,3.7867268,10115.463302368564,0.2445316
